open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1715212800000,61138.0,61220.3,61090.0,61200.0,74510,1715213099999,121.84948809,1897,46381,75.84760200,0
1715213100000,61199.8,61206.6,61148.0,61165.7,38167,1715213399999,62.39592497,1481,15912,26.01275092,0
1715213400000,61165.7,61278.0,61137.3,61220.0,44992,1715213699999,73.50030137,1773,28493,46.54602404,0
1715213700000,61220.1,61242.6,61142.0,61189.5,35530,1715213999999,58.06003655,1403,20417,33.36551681,0
1715214000000,61189.5,61267.6,61189.4,61261.9,27387,1715214299999,44.72519169,1086,16193,26.44467599,0
1715214300000,61261.9,61332.0,61216.0,61314.4,44252,1715214599999,72.20225047,1649,22905,37.37106346,0
1715214600000,61315.0,61340.0,61268.8,61326.0,24129,1715214899999,39.36106758,1256,12102,19.74201889,0
1715214900000,61326.0,61360.2,61280.1,61348.2,29194,1715215199999,47.61000796,1192,17436,28.43539401,0
1715215200000,61348.2,61417.5,61329.3,61394.0,49011,1715215499999,79.85438158,1691,26098,42.52360640,0
1715215500000,61394.0,61394.0,61330.7,61372.9,22218,1715215799999,36.20924237,1025,8667,14.12533541,0
1715215800000,61372.9,61388.0,61308.4,61386.0,32294,1715216099999,52.63432658,1275,11477,18.70694060,0
1715216100000,61386.0,61408.8,61346.0,61346.0,18118,1715216399999,29.51714353,799,8859,14.43263697,0
1715216400000,61346.0,61430.7,61323.4,61400.8,23975,1715216699999,39.06224447,1051,13299,21.67106198,0
1715216700000,61400.8,61461.7,61360.0,61416.0,33810,1715216999999,55.04288389,1144,15287,24.88843858,0
1715217000000,61416.0,61485.4,61415.9,61484.4,38451,1715217299999,62.57032365,1417,21370,34.77538531,0
1715217300000,61484.3,61484.3,61416.5,61448.0,32896,1715217599999,53.53677572,1483,16143,26.27174432,0
1715217600000,61448.0,61458.0,61408.0,61450.0,25604,1715217899999,41.68105043,1172,11365,18.50042705,0
1715217900000,61450.0,61477.3,61426.1,61455.1,32763,1715218199999,53.31311122,1210,21904,35.64425077,0
1715218200000,61455.1,61462.0,61400.8,61444.1,71738,1715218499999,116.76343906,1866,52198,84.95980768,0
1715218500000,61444.1,61444.1,61396.0,61396.0,24855,1715218799999,40.46456730,1007,10493,17.08292166,0
1715218800000,61396.0,61434.0,61366.0,61406.8,29403,1715219099999,47.88708202,1232,19513,31.78384748,0
1715219100000,61406.7,61450.4,61406.7,61449.9,22161,1715219399999,36.07471305,859,16821,27.38082698,0
1715219400000,61450.0,61450.0,61437.1,61450.0,22044,1715219699999,35.87504474,804,14523,23.63537515,0
1715219700000,61450.0,61518.0,61450.0,61499.7,35605,1715219999999,57.89907820,1317,25339,41.20850811,0
1715220000000,61499.7,61521.9,61471.3,61488.4,49772,1715220299999,80.93308278,1506,32241,52.42847832,0
1715220300000,61488.4,61494.0,61478.0,61484.6,23198,1715220599999,37.72882171,964,11598,18.86327665,0
1715220600000,61484.6,61493.9,61437.4,61492.1,30632,1715220899999,49.84171836,1197,17986,29.26589737,0
1715220900000,61492.1,61516.3,61488.0,61507.5,29210,1715221199999,47.49245872,1028,18377,29.88006685,0
1715221200000,61507.5,61517.5,61491.0,61500.0,20665,1715221499999,33.59729990,795,13671,22.22673122,0
1715221500000,61500.0,61548.6,61500.0,61548.6,24314,1715221799999,39.52119913,924,20981,34.10452727,0
1715221800000,61548.6,61565.5,61474.6,61525.8,48152,1715222099999,78.27350645,1438,26655,43.33172296,0
1715222100000,61525.8,61600.7,61525.7,61600.7,94494,1715222399999,153.44142087,1521,79986,129.88228442,0
1715222400000,61600.7,61604.5,61595.2,61604.5,167729,1715222699999,272.27764354,1836,140406,227.92294106,0
1715222700000,61604.4,61604.5,61574.0,61581.0,101228,1715222999999,164.33263453,1268,40896,66.39015275,0
1715223000000,61581.0,61604.5,61581.0,61604.5,32708,1715223299999,53.09912783,1009,24913,40.44521397,0
1715223300000,61604.5,61604.5,61597.3,61600.0,39288,1715223599999,63.77502637,1000,17617,28.59722598,0
1715223600000,61600.1,61722.3,61577.9,61672.8,168601,1715223899999,273.54608633,2952,136090,220.82872576,0
1715223900000,61672.8,61751.1,61672.8,61693.9,196154,1715224199999,317.89824497,2989,127197,206.15020106,0
1715224200000,61693.9,61693.9,61470.0,61488.0,109001,1715224499999,177.02658683,2365,35092,57.00046898,0
1715224500000,61488.0,61500.0,61376.1,61411.8,52215,1715224799999,84.98444130,1347,24032,39.12641165,0
1715224800000,61411.8,61463.1,61411.7,61458.3,39301,1715225099999,63.97169042,1055,21347,34.74905990,0
1715225100000,61458.3,61465.4,61343.2,61465.4,57062,1715225399999,92.90631521,1585,19095,31.09421177,0
1715225400000,61465.4,61559.1,61465.4,61552.0,43449,1715225699999,70.61784971,1223,26968,43.83193808,0
1715225700000,61552.0,61652.0,61536.0,61558.0,33713,1715225999999,54.72796143,1492,21614,35.08830576,0
1715226000000,61558.0,61609.5,61558.0,61607.3,9661,1715226299999,15.68595679,704,7427,12.05892572,0
1715226300000,61607.2,61607.2,61552.1,61586.9,27069,1715226599999,43.96171323,997,18891,30.68165634,0
1715226600000,61586.9,61679.7,61580.1,61634.8,20802,1715226899999,33.75713118,1021,13161,21.36014035,0
1715226900000,61634.1,61650.9,61607.7,61613.8,25052,1715227199999,40.65058852,929,12518,20.31284416,0
1715227200000,61613.9,61641.9,61583.3,61586.7,24755,1715227499999,40.17804956,901,12993,21.08666863,0
1715227500000,61586.7,61692.2,61586.7,61686.0,28584,1715227799999,46.36933043,973,23978,38.89997936,0
1715227800000,61685.9,61686.0,61634.8,61646.1,27221,1715228099999,44.15219617,900,12430,20.16176807,0
1715228100000,61646.1,61694.5,61614.1,61634.1,43607,1715228399999,70.71110628,1172,27001,43.78201668,0
1715228400000,61634.1,61634.1,61532.1,61562.1,29604,1715228699999,48.08055722,1122,17085,27.74889158,0
1715228700000,61562.1,61583.9,61458.1,61485.9,31220,1715228999999,50.75367786,1151,9111,14.81327323,0
1715229000000,61486.0,61486.0,61380.1,61482.3,44325,1715229299999,72.16520372,1379,24278,39.52528330,0
1715229300000,61482.3,61532.0,61434.6,61485.5,83380,1715229599999,135.60207106,1766,30000,48.79928366,0
1715229600000,61485.5,61500.0,61465.9,61487.9,101476,1715229899999,165.02090721,2303,71587,116.41300704,0
1715229900000,61487.9,61500.0,61487.9,61499.9,26311,1715230199999,42.78358354,805,14334,23.30830112,0
1715230200000,61499.9,61499.9,61431.5,61481.1,27551,1715230499999,44.82415156,998,15515,25.24556594,0
1715230500000,61481.1,61485.9,61425.2,61439.4,49256,1715230799999,80.13971030,1060,16642,27.08051191,0
1715230800000,61439.4,61490.8,61431.3,61478.0,30433,1715231099999,49.51054357,728,17349,28.22618093,0
1715231100000,61478.0,61494.3,61477.9,61494.3,12040,1715231399999,19.58119824,358,5383,8.75498920,0
1715231400000,61494.3,61500.0,61492.6,61500.0,94431,1715231699999,153.54720977,1370,68057,110.66245128,0
1715231700000,61500.0,61500.0,61488.3,61497.0,76833,1715231999999,124.93402819,1207,49931,81.19021755,0
1715232000000,61497.0,61647.7,61497.0,61588.0,261632,1715232299999,425.09964364,3918,173119,281.39598000,0
1715232300000,61587.9,61597.8,61429.2,61429.2,73364,1715232599999,119.21628988,1525,26447,42.98049505,0
1715232600000,61429.1,61501.3,61379.6,61492.5,72808,1715232899999,118.52274561,2210,36428,59.30129982,0
1715232900000,61492.6,61492.6,61444.0,61490.0,20820,1715233199999,33.87151768,715,13613,22.14911533,0
1715233200000,61490.3,61500.0,61488.9,61499.9,71765,1715233499999,116.69317682,775,52528,85.41285322,0
1715233500000,61499.9,61500.0,61490.0,61500.0,27220,1715233799999,44.26140337,705,16574,26.95037203,0
1715233800000,61500.0,61548.3,61489.5,61548.3,174935,1715234099999,284.44261821,2032,152231,247.52472575,0
1715234100000,61548.3,61598.8,61504.2,61504.2,45281,1715234399999,73.54501543,1334,11150,18.11117428,0
1715234400000,61504.2,61581.4,61504.2,61581.3,41813,1715234699999,67.95192800,883,38110,61.93668285,0
1715234700000,61581.4,61676.6,61581.4,61676.6,39258,1715234999999,63.69997693,1543,30141,48.90284909,0
1715235000000,61677.0,61712.0,61654.0,61702.0,70899,1715235299999,114.93402231,1805,33328,54.02864035,0
1715235300000,61702.0,61702.0,61602.1,61609.2,55091,1715235599999,89.35912194,1680,19579,31.76529426,0
1715235600000,61609.2,61664.6,61580.0,61664.6,36983,1715235899999,60.01026106,1294,27333,44.35226965,0
1715235900000,61664.6,61700.0,61614.0,61676.2,28746,1715236199999,46.61864108,1327,15371,24.92873571,0
1715236200000,61676.3,61708.0,61604.4,61604.5,31938,1715236499999,51.79450336,1159,13762,22.32012227,0
1715236500000,61604.4,61618.8,61564.2,61618.6,16206,1715236799999,26.31031667,797,6765,10.98463457,0
1715236800000,61618.6,61618.6,61537.8,61537.8,22392,1715237099999,36.37192645,951,3212,5.21625344,0
1715237100000,61540.0,61540.1,61464.5,61500.0,37699,1715237399999,61.30832402,1566,20983,34.12503080,0
1715237400000,61500.0,61549.1,61470.1,61540.6,22547,1715237699999,36.65307334,1086,12497,20.31584243,0
1715237700000,61540.6,61594.4,61522.8,61552.0,18275,1715237999999,29.68623838,884,10578,17.18200131,0
1715238000000,61552.0,61586.7,61478.0,61495.0,25308,1715238299999,41.12369179,1269,12503,20.32087829,0
1715238300000,61495.0,61535.3,61472.2,61482.0,20446,1715238599999,33.24891631,1178,11264,18.31877228,0
1715238600000,61482.0,61514.0,61440.5,61514.0,23814,1715238899999,38.73973083,1029,10320,16.78807333,0
1715238900000,61514.0,61528.1,61428.1,61484.3,33203,1715239199999,54.02154240,1524,15015,24.42994468,0
1715239200000,61484.3,61502.1,61440.0,61474.1,28002,1715239499999,45.54923775,1144,17541,28.53411111,0
1715239500000,61474.1,61497.2,61402.0,61452.0,26280,1715239799999,42.76399631,1170,10851,17.65703216,0
1715239800000,61452.0,61452.0,61386.0,61415.8,72812,1715240099999,118.53996570,1895,28640,46.63200175,0
1715240100000,61415.8,61415.8,61252.9,61344.0,102298,1715240399999,166.84568058,2780,38128,62.18520175,0
1715240400000,61344.0,61374.5,61324.0,61374.5,20242,1715240699999,32.99060545,900,10571,17.22995394,0
1715240700000,61374.4,61374.4,61176.0,61271.8,170571,1715240999999,278.52525564,3359,62164,101.52885607,0
1715241000000,61271.7,61276.8,61066.1,61109.9,103372,1715241299999,169.05381146,2907,41391,67.70007946,0
1715241300000,61109.9,61195.5,61109.9,61195.4,54939,1715241599999,89.83426848,1907,34364,56.19312102,0
1715241600000,61195.4,61344.0,61184.2,61312.0,72702,1715241899999,118.65774078,2136,51493,84.05254853,0
1715241900000,61312.0,61324.0,61222.6,61245.9,32362,1715242199999,52.81226232,1427,8692,14.18646243,0
1715242200000,61246.0,61283.7,61095.3,61151.0,53427,1715242499999,87.34903776,1857,19272,31.51189106,0
1715242500000,61150.9,61284.7,61140.0,61243.5,53898,1715242799999,88.03411226,2000,23402,38.22913867,0
1715242800000,61243.5,61319.9,61228.6,61278.2,29812,1715243099999,48.64459065,1242,12641,20.62821658,0
1715243100000,61278.2,61348.0,61248.0,61248.0,33593,1715243399999,54.79692097,1833,21098,34.41445313,0
1715243400000,61248.0,61386.3,61248.0,61356.0,39621,1715243699999,64.61675084,2027,23415,38.19380645,0
1715243700000,61356.1,61382.0,61320.0,61320.9,22729,1715243999999,37.04972548,1054,6837,11.14466299,0
1715244000000,61320.9,61358.0,61311.2,61353.8,23456,1715244299999,38.23958880,1069,11039,17.99746539,0
1715244300000,61353.9,61386.4,61312.4,61317.1,98330,1715244599999,160.30280794,1943,65536,106.85127370,0
1715244600000,61317.1,61317.2,61206.0,61235.1,43398,1715244899999,70.85899101,1780,14857,24.26323880,0
1715244900000,61235.1,61250.0,61199.9,61250.0,33373,1715245199999,54.50219866,1749,17489,28.56267515,0
1715245200000,61250.0,61301.2,61112.6,61178.1,77917,1715245499999,127.28198454,3237,32506,53.09932273,0
1715245500000,61178.0,61218.0,61170.1,61217.9,33728,1715245799999,55.11589667,1263,12993,21.23447841,0
1715245800000,61217.9,61217.9,61120.1,61185.2,34271,1715246099999,56.02989053,1348,13260,21.67952944,0
1715246100000,61185.2,61185.2,61020.1,61038.0,92250,1715246399999,150.98347121,2553,26765,43.81463585,0
1715246400000,61038.0,61111.1,60929.4,60940.0,112167,1715246699999,183.87520638,3152,47389,77.68091483,0
1715246700000,60940.0,61051.4,60924.0,61013.9,108628,1715246999999,178.13864345,3369,57233,93.86112351,0
1715247000000,61014.0,61068.7,60936.0,60971.4,88064,1715247299999,144.34820987,3045,39240,64.32917719,0
1715247300000,60971.4,60996.0,60856.0,60989.0,152481,1715247599999,250.30149638,3308,76083,124.89722369,0
1715247600000,60989.0,61045.5,60970.6,61006.0,112738,1715247899999,184.80095082,2410,38717,63.46472391,0
1715247900000,61005.9,61045.5,60918.5,60982.0,83006,1715248199999,136.14399367,2495,39662,65.06085216,0
1715248200000,60982.0,61099.0,60966.0,61098.9,53563,1715248499999,87.77438351,1787,30410,49.83261257,0
1715248500000,61099.0,61229.5,61034.0,61229.4,169924,1715248799999,277.81496755,4322,101393,165.77101215,0
1715248800000,61229.4,61258.3,61070.0,61142.0,74634,1715249099999,122.03709693,2610,27948,45.70144972,0
1715249100000,61142.0,61148.0,61068.6,61124.0,47297,1715249399999,77.40359676,1653,25312,41.42824093,0
1715249400000,61124.0,61124.8,61042.0,61124.8,40737,1715249699999,66.68916498,1533,21342,34.94149947,0
1715249700000,61124.8,61124.8,60917.1,60950.1,76102,1715249999999,124.77672203,2538,29771,48.83293161,0
1715250000000,60950.0,61010.0,60918.1,60942.0,51360,1715250299999,84.24983265,2035,19768,32.42855195,0
1715250300000,60942.0,60967.3,60920.0,60963.9,47921,1715250599999,78.63375670,1668,23534,38.61887120,0
1715250600000,60963.9,61003.9,60922.0,60978.0,57569,1715250899999,94.43621767,1835,28628,46.96309584,0
1715250900000,60978.0,61073.2,60978.0,61042.0,48911,1715251199999,80.13735038,1953,23485,38.48181066,0
1715251200000,61042.0,61088.5,60979.4,61006.7,42447,1715251499999,69.51848970,1680,18958,31.04366649,0
1715251500000,61006.7,61128.0,61000.0,61088.5,36677,1715251799999,60.05378446,1933,17086,27.97895842,0
1715251800000,61088.5,61128.0,61040.1,61067.9,51659,1715252099999,84.58759161,2011,26880,44.01949704,0
1715252100000,61067.9,61067.9,60721.0,60753.5,321948,1715252399999,529.11393871,6807,115636,190.08655637,0
1715252400000,60753.5,60867.2,60566.0,60685.0,497266,1715252699999,819.20273640,9789,202026,332.71778696,0
1715252700000,60686.0,60795.8,60661.8,60748.0,86579,1715252999999,142.53571253,3117,49814,82.01251401,0
1715253000000,60748.0,60905.3,60748.0,60905.3,91458,1715253299999,150.36844879,2873,57294,94.19755948,0
1715253300000,60905.3,60939.0,60850.0,60880.0,52310,1715253599999,85.90910290,1870,22023,36.17138768,0
1715253600000,60880.0,60921.5,60874.0,60913.1,39947,1715253899999,65.59685996,1664,18897,31.03309301,0
1715253900000,60913.1,60982.0,60906.0,60906.1,59125,1715254199999,96.99718978,1997,26355,43.23805040,0
1715254200000,60906.1,60976.0,60869.0,60976.0,54667,1715254499999,89.73694651,2108,26738,43.89428188,0
1715254500000,60976.0,61007.1,60950.0,61007.0,28313,1715254799999,46.43715757,1206,13891,22.78359154,0
1715254800000,61007.0,61111.5,60946.8,61089.9,122347,1715255099999,200.47061753,3134,81348,133.30261908,0
1715255100000,61090.0,61130.2,61076.0,61088.0,58652,1715255399999,95.99635228,1876,31398,51.39315615,0
1715255400000,61088.0,61110.2,61034.1,61054.1,42487,1715255699999,69.57837467,1654,19097,31.27455317,0
1715255700000,61054.1,61054.1,61006.0,61006.0,20876,1715255999999,34.20639474,1066,9555,15.65656876,0
